[Script Info]
Title: Default Aegisub file
ScriptType: v4.00+
WrapStyle: 0
PlayResX: 640
PlayResY: 480
ScaledBorderAndShadow: yes
Video Aspect Ratio: 0
Video Zoom: 6
Video Position: 0

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,MS UI Gothic,30,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,1.5,1.5,2,10,10,10,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:09:05.55,0:09:09.24,Default,,0000,0000,0000,,ヘッ！　大丈夫だってばよ！\N
Dialogue: 0,0:09:09.24,0:09:11.24,Default,,0000,0000,0000,,もういいから　どけ！　逃げろ！\N
Dialogue: 0,0:09:17.67,0:09:21.67,Default,,0000,0000,0000,,オレは　火影になるまで\Nぜってぇ…。\N
Dialogue: 0,0:09:23.90,0:09:25.42,Default,,0000,0000,0000,,死なねえからよ！\N
Dialogue: 0,0:09:25.42,0:09:29.96,Default,,0000,0000,0000,,エロ仙人の敵は　オレが討つ。\N
Dialogue: 0,0:09:29.96,0:09:34.34,Default,,0000,0000,0000,,じっとなんて\Nしてらんねえんだよ。\N
Dialogue: 0,0:09:34.34,0:09:37.54,Default,,0000,0000,0000,,しんみりするのは　ちと違うのう。\N
Dialogue: 0,0:09:37.54,0:09:43.76,Default,,0000,0000,0000,,わしらの役目は　次の世代のために\N手本となり　手助けをすること。\N
Dialogue: 0,0:09:43.76,0:09:46.62,Default,,0000,0000,0000,,そのためなら　笑って命をかける。\N
Dialogue: 0,0:09:46.62,0:09:51.34,Default,,0000,0000,0000,,（フカサク）あの子が　自来也ちゃんを\Nまっすぐに慕っとったのが→\N
Dialogue: 0,0:09:51.34,0:09:53.36,Default,,0000,0000,0000,,ようわかった。\N
Dialogue: 0,0:09:53.36,0:09:56.56,Default,,0000,0000,0000,,予言の子は\Nあの子であってほしいと→\N
Dialogue: 0,0:09:56.56,0:09:59.56,Default,,0000,0000,0000,,そう願わずには　おれんのう。\N
Dialogue: 0,0:10:09.01,0:10:14.01,Default,,0000,0000,0000,,自来也ちゃんは　すべてを\Nあの子に託したんじゃからな\N
Dialogue: 0,0:10:16.42,0:10:19.96,Default,,0000,0000,0000,,こ　これ！　離さぬか綱手。\N
Dialogue: 0,0:10:19.96,0:10:24.33,Default,,0000,0000,0000,,お前　わしら相談役に向かって\N何様のつもりじゃ！\N
